name_hotel,link_hotel,access,star,review,price,pop_score
厨八十八,https://www.jalan.net/uw/uwp3000/uww3001.do?stayCount=1&roomCount=1&adultNum=2&stayDay=&ssc=46133&roomCrack=200000&stayYear=&stayMonth=&dateUndecided=1&rootCd=0146133&distCd=05&screenId=UWW1402&yadNo=308757&callbackHistFlg=1,"
 お食事は目の前で料理が仕上がっていく臨場感を愉しめる「ライブ懐石プラン」が好評。料理のボリュームを抑えて質を上げた「吟味懐石プラン」もご用意♪

 ",4.7,197,13000,24.854855044264315
たちばな四季亭,https://www.jalan.net/uw/uwp3000/uww3001.do?stayCount=1&roomCount=1&adultNum=2&stayDay=&ssc=46133&roomCrack=200000&stayYear=&stayMonth=&dateUndecided=1&rootCd=0146133&distCd=05&screenId=UWW1402&yadNo=325157&callbackHistFlg=1,"
 魯山人も逗留した、明治元年より続く桐づくりの湯宿。源泉かけ流しの露天風呂、12時チェックアウトでごゆっくりとお過ごしください。
 ",4.4,217,26945,23.691778276271993
粟津温泉　法師,https://www.jalan.net/uw/uwp3000/uww3001.do?stayCount=1&roomCount=1&adultNum=2&stayDay=&ssc=46133&roomCrack=200000&stayYear=&stayMonth=&dateUndecided=1&rootCd=0146133&distCd=05&screenId=UWW1402&yadNo=311758&callbackHistFlg=1,"
 開湯より1300年続くおもてなし。文化財指定のロビー、源泉かけ流し露天風呂付客室や国登録記念物の「法師庭園」を望む客室を備え、北陸・加賀ならではの会席料理と粟津温泉をお楽しみいただけます。
 ",4.3,1873,13063,32.40407099003298
金沢 東急ホテル,https://www.jalan.net/uw/uwp3000/uww3001.do?stayCount=1&roomCount=1&adultNum=2&stayDay=&ssc=46133&roomCrack=200000&stayYear=&stayMonth=&dateUndecided=1&rootCd=0146133&distCd=05&screenId=UWW1402&yadNo=317689&callbackHistFlg=1,"
 兼六園、21世紀美術館、武家屋敷、金沢城にも徒歩圏内で観光に抜群の立地！
コンシェルジュ、フロア専用クラブラウンジなど金沢東急ホテルのおもてなしを。
「金沢を満喫できる朝ごはん」も高評価！

 ",4.3,879,5200,29.15366420213068
加賀懐石　山中温泉　胡蝶　〈書院造り×日本庭園〉で游す,https://www.jalan.net/uw/uwp3000/uww3001.do?stayCount=1&roomCount=1&adultNum=2&stayDay=&ssc=46133&roomCrack=200000&stayYear=&stayMonth=&dateUndecided=1&rootCd=0146133&distCd=05&screenId=UWW1402&yadNo=388736&callbackHistFlg=1,"
 「時をめぐり、夢にたゆたう」。
旬の食材と料理人の手仕事を軸に紡がれる食体験を
一日七組。料理長と若き挑戦者の手仕事が、加賀の夜を物語に変える。
 ",4.6,128,43320,22.35513706006369
KITAMAE BASE 加賀橋立,https://www.jalan.net/uw/uwp3000/uww3001.do?stayCount=1&roomCount=1&adultNum=2&stayDay=&ssc=46133&roomCrack=200000&stayYear=&stayMonth=&dateUndecided=1&rootCd=0146133&distCd=05&screenId=UWW1402&yadNo=316405&callbackHistFlg=1,"
 かつて北前船の往来で栄えた港町に誕生した、全9室の小さな宿。ラウンジでのドリンクや貸切風呂などはすべてオールインクルーシブです。海を眺めるラウンジで味わう創作コースでゆったりとした休日を。
 ",5.0,6,11825,9.729550745276565
白鷺の湯　能登 海舟（共立リゾート）－７月１６日営業再開－,https://www.jalan.net/uw/uwp3000/uww3001.do?stayCount=1&roomCount=1&adultNum=2&stayDay=&ssc=46133&roomCrack=200000&stayYear=&stayMonth=&dateUndecided=1&rootCd=0146133&distCd=05&screenId=UWW1402&yadNo=311395&callbackHistFlg=1,"
 ―波穏やかな七尾湾を望む湯宿―
多くの客室には天然温泉露天風呂付！2種の大湯処と3種の貸切風呂もございます。
ご夕食は能登の里山里海の味覚を使用した和会席に舌鼓♪
無料サービスも充実も嬉しい！

 ",,0,32290,0.0
金沢・辰口温泉　やさしさの宿　まつさき,https://www.jalan.net/uw/uwp3000/uww3001.do?stayCount=1&roomCount=1&adultNum=2&stayDay=&ssc=46133&roomCrack=200000&stayYear=&stayMonth=&dateUndecided=1&rootCd=0146133&distCd=05&screenId=UWW1402&yadNo=328418&callbackHistFlg=1,"
 ◆口コミ投稿キャンペーン実施中◆2026年7月31日までのご宿泊で口コミ投稿いただいた御礼として1000ポイント進呈！露天風呂付客室全24室◆金沢市内から車で約30分。心地よい温泉と旬の味覚を堪能ください
 ",4.5,210,23100,24.0833616006423
木のぬくもり、葉のやさしさ　葉渡莉,https://www.jalan.net/uw/uwp3000/uww3001.do?stayCount=1&roomCount=1&adultNum=2&stayDay=&ssc=46133&roomCrack=200000&stayYear=&stayMonth=&dateUndecided=1&rootCd=0146133&distCd=05&screenId=UWW1402&yadNo=356136&callbackHistFlg=1,"
 温泉通りに面した風情ある趣きの宿。五感で味わう料理は旬を大切に身体に優しい味わいが自慢です。
天然桧と石造の２つの大浴場で館内湯巡りを。ロビードリンクサービスや温泉卓球、選べる浴衣も。

 ",4.4,1115,13310,30.87702702894153
旅亭　萬葉,https://www.jalan.net/uw/uwp3000/uww3001.do?roomCount=1&stayYear=&stayMonth=&dateUndecided=1&rootCd=0146133&distCd=05&ssc=46133&roomCrack=200000&adultNum=2&stayDay=&stayCount=1&screenId=UWW1402&yadNo=316346&callbackHistFlg=1,"
 2千坪の庭園に囲まれた、全9室の隠れ宿。9室中8室がそれぞれ趣が異なる露天風呂付き客室です。静寂の中で四季の味わい「極み会席」を楽しみ、辰口の名湯に癒されるひとときをお楽しみください。
 ",4.4,289,27621,24.947476061114287
金沢湯涌温泉　日本料理さかえや,https://www.jalan.net/uw/uwp3000/uww3001.do?roomCount=1&stayYear=&stayMonth=&dateUndecided=1&rootCd=0146133&distCd=05&ssc=46133&roomCrack=200000&adultNum=2&stayDay=&stayCount=1&screenId=UWW1402&yadNo=364351&callbackHistFlg=1,"
 【全7室の贅沢】★全プラン夕朝食ともに部屋食★お料理の美しさ、味を評価いただき「2016年ミシュランガイド」の施設部門で「最上級の快適」を受賞しました♪
 ",4.5,314,18700,25.88657687471535
金城樓,https://www.jalan.net/uw/uwp3000/uww3001.do?roomCount=1&stayYear=&stayMonth=&dateUndecided=1&rootCd=0146133&distCd=05&ssc=46133&roomCrack=200000&adultNum=2&stayDay=&stayCount=1&screenId=UWW1402&yadNo=321262&callbackHistFlg=1,"
 ＜ミシュランガイド富山・石川2016特別版で5パビリオン獲得＞ 
金沢で最も美しい浅の川界隈に佇む金城樓
四季の美しさや本物の和の心を御客様に感じていただく、おもてなしを心がけております。

 ",,0,38500,0.0
金沢湯涌温泉　湯の出,https://www.jalan.net/uw/uwp3000/uww3001.do?roomCount=1&stayYear=&stayMonth=&dateUndecided=1&rootCd=0146133&distCd=05&ssc=46133&roomCrack=200000&adultNum=2&stayDay=&stayCount=1&screenId=UWW1402&yadNo=352002&callbackHistFlg=1,"
 2023年度・2024年度売れた宿大賞 石川県1-10部屋部門で2年連続1位♪夕食はお部屋食です。金沢の奥座敷・全10室の小さな宿。温泉の露天風呂付き客室も3室あり。静かな温泉郷でゆったりとしたひとときを。
 ",4.2,269,19635,23.513372227793177
ハイアット ハウス 金沢,https://www.jalan.net/uw/uwp3000/uww3001.do?roomCount=1&stayYear=&stayMonth=&dateUndecided=1&rootCd=0146133&distCd=05&ssc=46133&roomCrack=200000&adultNum=2&stayDay=&stayCount=1&screenId=UWW1402&yadNo=344338&callbackHistFlg=1,"
 ハイアット ハウス 金沢は、ご自宅にいるような快適な滞在を提案します。ご滞在中はロビーエリアで、お飲み物をお好きなだけお楽しみいただけるサービス（午前11時～午後8時）もご用意しております。
 ",,0,8539,0.0
癒しのリゾート・加賀の幸　ホテル　アローレ,https://www.jalan.net/uw/uwp3000/uww3001.do?roomCount=1&stayYear=&stayMonth=&dateUndecided=1&rootCd=0146133&distCd=05&ssc=46133&roomCrack=200000&adultNum=2&stayDay=&stayCount=1&screenId=UWW1402&yadNo=330652&callbackHistFlg=1,"
 白山連峰の山並み、柴山潟を一望する本格スパ＆リゾート・地元加賀の旬の食材を愉しむ創作料理は和食会席／イタリアン／鉄板焼きと種類豊富。冬季にはもちろん蟹をご堪能。加賀温泉駅より無料送迎有
 ",4.1,2350,5800,31.82664379901428
みやこわすれの宿　こおろぎ楼,https://www.jalan.net/uw/uwp3000/uww3001.do?roomCount=1&stayYear=&stayMonth=&dateUndecided=1&rootCd=0146133&distCd=05&ssc=46133&roomCrack=200000&adultNum=2&stayDay=&stayCount=1&screenId=UWW1402&yadNo=324648&callbackHistFlg=1,"
 名勝こおろぎ橋袂に佇む全6室の宿。全てのお部屋が渓谷沿いに有り露天風呂が完備！主がずわい蟹で有名な地元橋立漁港で競り落とし調理する地物食材を使用した懐石を存分に堪能できる！
 ",,0,33000,0.0
満天ノ　辻のや,https://www.jalan.net/uw/uwp3000/uww3001.do?roomCount=1&stayYear=&stayMonth=&dateUndecided=1&rootCd=0146133&distCd=05&ssc=46133&roomCrack=200000&adultNum=2&stayDay=&stayCount=1&screenId=UWW1402&yadNo=364597&callbackHistFlg=1,"
 四季の植物が織りなす回遊式庭園、厚労大臣表彰の総料理長によるお料理、九谷焼の大陶壁を望む名湯はそのままに、新たな空間へ一新されました。
 ",4.1,124,8100,19.796086322939434
家族の笑顔に会える宿 山代温泉 宝生亭,https://www.jalan.net/uw/uwp3000/uww3001.do?roomCount=1&stayYear=&stayMonth=&dateUndecided=1&rootCd=0146133&distCd=05&ssc=46133&roomCrack=200000&adultNum=2&stayDay=&stayCount=1&screenId=UWW1402&yadNo=349709&callbackHistFlg=1,"
 温泉は赤ちゃんも入れるほど優しい湧水も使用した宝生亭だけの特別な湯です。
石川だけではなく北陸全体の新鮮な海の幸や山の幸を使用し、四季を感じ、視覚でも楽しめるようなお食事です。
 ",4.2,600,8150,26.874098725047872
